id;region;cadena_productiva;tipo_empresa;tendencias;color_tendencias
30;Arica;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
72;Arica;Servicios creativos;Empresa;Computación o programación creativa;#705abb
72;Arica;Servicios creativos;Empresa;Robótica;#546c74
72;Arica;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
97;Arica;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
97;Arica;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
97;Arica;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
54;Antofagasta;Servicios creativos;Profesional indep.;Contenido para redes sociales;#62cca5
54;Antofagasta;Servicios creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
54;Antofagasta;Servicios creativos;Profesional indep.;Nuevos medios;#070708
54;Antofagasta;Servicios creativos;Profesional indep.;Servicios creativos;#cbd2f6
73;Antofagasta;Experiencias creativas;Empresa;Música;#96a5c3
138;Atacama;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
138;Atacama;Bienes creativos;Empresa;Música;#96a5c3
138;Atacama;Bienes creativos;Empresa;Nuevos medios;#070708
8;Valparaíso;Bienes creativos;Empresa;Ninguna de las anteriores;#a5a29a
20;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
20;Valparaíso;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
20;Valparaíso;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
20;Valparaíso;Servicios creativos;Empresa;Nuevos medios;#070708
20;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
21;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
21;Valparaíso;Servicios creativos;Empresa;Nuevos medios;#070708
21;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
32;Valparaíso;Experiencias creativas;Profesional indep.;Nuevos medios;#070708
52;Valparaíso;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
53;Valparaíso;Servicios creativos;Empresa;Data science;#737daa
68;Valparaíso;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
68;Valparaíso;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
69;Valparaíso;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
71;Valparaíso;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
71;Valparaíso;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
71;Valparaíso;Servicios creativos;Empresa;Música;#96a5c3
84;Valparaíso;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
84;Valparaíso;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
84;Valparaíso;Contenidos creativos;Empresa;Nuevos medios;#070708
92;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
92;Valparaíso;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
92;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
103;Valparaíso;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
103;Valparaíso;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
103;Valparaíso;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
113;Valparaíso;Bienes creativos;Empresa;Computación o programación creativa;#705abb
113;Valparaíso;Bienes creativos;Empresa;Nuevos medios;#070708
114;Valparaíso;Servicios creativos;Empresa;Computación o programación creativa;#705abb
114;Valparaíso;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
114;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
117;Valparaíso;Servicios creativos;Profesional indep.;Computación o programación creativa;#705abb
117;Valparaíso;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
117;Valparaíso;Servicios creativos;Profesional indep.;Nuevos medios;#070708
120;Valparaíso;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
126;Valparaíso;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
126;Valparaíso;Bienes creativos;Empresa;Nuevos medios;#070708
126;Valparaíso;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
129;Valparaíso;Bienes creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
129;Valparaíso;Bienes creativos;Profesional indep.;Data science;#737daa
129;Valparaíso;Bienes creativos;Profesional indep.;Juegos interactivos;#b7b7af
129;Valparaíso;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
131;Valparaíso;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
135;Valparaíso;Servicios creativos;Empresa;Música;#96a5c3
135;Valparaíso;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
2;RM;Servicios creativos;Profesional indep.;Computación o programación creativa;#705abb
2;RM;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
3;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
3;RM;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
3;RM;Servicios creativos;Empresa;Fintech;#544c7c
13;RM;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
13;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
14;RM;Servicios creativos;Empresa;Data science;#737daa
14;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
15;RM;Contenidos creativos;Profesional indep.;Data science;#737daa
15;RM;Contenidos creativos;Profesional indep.;Nuevos medios;#070708
15;RM;Contenidos creativos;Profesional indep.;Wearables;#74746c
16;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
16;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
17;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
17;RM;Bienes creativos;Empresa;Fintech;#544c7c
18;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
18;RM;Servicios creativos;Empresa;Wearables;#74746c
19;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
19;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
22;RM;Servicios creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
22;RM;Servicios creativos;Profesional indep.;Música;#96a5c3
23;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
23;RM;Experiencias creativas;Empresa;Contenido para redes sociales;#62cca5
23;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
24;RM;Bienes creativos;Profesional indep.;Música;#96a5c3
25;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
25;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
25;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
26;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
26;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
26;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
28;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
33;RM;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
33;RM;Servicios creativos;Empresa;Nuevos medios;#070708
33;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
34;RM;Contenidos creativos;Empresa;Data science;#737daa
35;RM;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
35;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
35;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
35;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
35;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
35;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
36;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
36;RM;Contenidos creativos;Empresa;Música;#96a5c3
36;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
38;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
38;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
42;RM;Bienes creativos;Empresa;Contenido para redes sociales;#62cca5
42;RM;Bienes creativos;Empresa;Nuevos medios;#070708
42;RM;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
45;RM;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
46;RM;Bienes creativos;Empresa;Computación o programación creativa;#705abb
46;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
46;RM;Bienes creativos;Empresa;Nuevos medios;#070708
47;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
48;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
48;RM;Experiencias creativas;Empresa;Contenido para redes sociales;#62cca5
48;RM;Experiencias creativas;Empresa;Música;#96a5c3
49;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
49;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
50;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#a5a29a
55;RM;Servicios creativos;Empresa;Ninguna de las anteriores;#a5a29a
56;RM;Bienes creativos;Profesional indep.;Contenido para redes sociales;#62cca5
56;RM;Bienes creativos;Profesional indep.;Editorial;#e4e2d4
56;RM;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
58;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
58;RM;Contenidos creativos;Empresa;Fintech;#544c7c
58;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
60;RM;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
60;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
60;RM;Contenidos creativos;Empresa;Música;#96a5c3
60;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
62;RM;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
62;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
62;RM;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
63;RM;Contenidos creativos;Empresa;Editorial;#e4e2d4
64;RM;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
64;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
65;RM;Experiencias creativas;Profesional indep.;Juegos interactivos;#b7b7af
76;RM;Bienes creativos;Empresa;Ninguna de las anteriores;#a5a29a
80;RM;Contenidos creativos;Profesional indep.;Ninguna de las anteriores;#a5a29a
85;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
86;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
86;RM;Servicios creativos;Empresa;Nuevos medios;#070708
86;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
87;RM;Experiencias creativas;Profesional indep.;Computación o programación creativa;#705abb
87;RM;Experiencias creativas;Profesional indep.;Contenido para redes sociales;#62cca5
87;RM;Experiencias creativas;Profesional indep.;Cultura y entretenimiento;#9a7cbb
88;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
88;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
88;RM;Contenidos creativos;Empresa;Editorial;#e4e2d4
88;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
88;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
89;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
89;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
89;RM;Experiencias creativas;Empresa;Nuevos medios;#070708
89;RM;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
90;RM;Experiencias creativas;Profesional indep.;Cultura y entretenimiento;#9a7cbb
93;RM;Experiencias creativas;Profesional indep.;Cultura y entretenimiento;#9a7cbb
93;RM;Experiencias creativas;Profesional indep.;Juegos interactivos;#b7b7af
93;RM;Experiencias creativas;Profesional indep.;Nuevos medios;#070708
94;RM;Servicios creativos;Profesional indep.;Computación o programación creativa;#705abb
94;RM;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
94;RM;Servicios creativos;Profesional indep.;Nuevos medios;#070708
94;RM;Servicios creativos;Profesional indep.;Servicios creativos;#cbd2f6
96;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
96;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
96;RM;Experiencias creativas;Empresa;Nuevos medios;#070708
96;RM;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
98;RM;Experiencias creativas;Profesional indep.;Cultura y entretenimiento;#9a7cbb
98;RM;Experiencias creativas;Profesional indep.;Nuevos medios;#070708
99;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
99;RM;Bienes creativos;Empresa;Música;#96a5c3
99;RM;Bienes creativos;Empresa;Nuevos medios;#070708
99;RM;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
100;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
100;RM;Experiencias creativas;Empresa;Música;#96a5c3
101;RM;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
101;RM;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
101;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
102;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
102;RM;Experiencias creativas;Empresa;Juegos interactivos;#b7b7af
102;RM;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
104;RM;Bienes creativos;Profesional indep.;Computación o programación creativa;#705abb
105;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
105;RM;Experiencias creativas;Empresa;Contenido para redes sociales;#62cca5
105;RM;Experiencias creativas;Empresa;Robótica;#546c74
106;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
106;RM;Bienes creativos;Empresa;Data science;#737daa
107;RM;Servicios creativos;Empresa;Ninguna de las anteriores;#a5a29a
109;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
110;RM;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
110;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
110;RM;Experiencias creativas;Empresa;Nuevos medios;#070708
112;RM;Servicios creativos;Empresa;Ninguna de las anteriores;#a5a29a
119;RM;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
119;RM;Servicios creativos;Empresa;Editorial;#e4e2d4
122;RM;Contenidos creativos;Empresa;Ninguna de las anteriores;#a5a29a
124;RM;Experiencias creativas;Profesional indep.;Computación o programación creativa;#705abb
124;RM;Experiencias creativas;Profesional indep.;Cultura y entretenimiento;#9a7cbb
125;RM;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
125;RM;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
125;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
127;RM;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
127;RM;Experiencias creativas;Empresa;Nuevos medios;#070708
128;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
128;RM;Contenidos creativos;Empresa;Editorial;#e4e2d4
128;RM;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
130;RM;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
130;RM;Contenidos creativos;Profesional indep.;Editorial;#e4e2d4
130;RM;Contenidos creativos;Profesional indep.;Nuevos medios;#070708
132;RM;Bienes creativos;Empresa;Computación o programación creativa;#705abb
132;RM;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
132;RM;Bienes creativos;Empresa;Juegos interactivos;#b7b7af
132;RM;Bienes creativos;Empresa;Nuevos medios;#070708
133;RM;Servicios creativos;Empresa;Computación o programación creativa;#705abb
133;RM;Servicios creativos;Empresa;Nuevos medios;#070708
133;RM;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
136;RM;Contenidos creativos;Empresa;Contenido para redes sociales;#62cca5
136;RM;Contenidos creativos;Empresa;Cultura y entretenimiento;#9a7cbb
136;RM;Contenidos creativos;Empresa;Editorial;#e4e2d4
136;RM;Contenidos creativos;Empresa;Nuevos medios;#070708
139;RM;Contenidos creativos;Profesional indep.;Data science;#737daa
139;RM;Contenidos creativos;Profesional indep.;Nuevos medios;#070708
139;RM;Contenidos creativos;Profesional indep.;Wearables;#74746c
67;O'Higgins;Bienes creativos;Empresa;Computación o programación creativa;#705abb
67;O'Higgins;Bienes creativos;Empresa;Juegos interactivos;#b7b7af
67;O'Higgins;Bienes creativos;Empresa;Nuevos medios;#070708
77;O'Higgins;Servicios creativos;Profesional indep.;Robótica;#546c74
43;Maule;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
70;Maule;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
70;Maule;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
1;Bío-Bío;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
1;Bío-Bío;Bienes creativos;Empresa;Juegos interactivos;#b7b7af
1;Bío-Bío;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
6;Bío-Bío;Contenidos creativos;Empresa;Juegos interactivos;#b7b7af
6;Bío-Bío;Contenidos creativos;Empresa;Música;#96a5c3
6;Bío-Bío;Contenidos creativos;Empresa;Servicios creativos;#cbd2f6
41;Bío-Bío;Experiencias creativas;Profesional indep.;Servicios creativos;#cbd2f6
61;Bío-Bío;Servicios creativos;Empresa;Computación o programación creativa;#705abb
61;Bío-Bío;Servicios creativos;Empresa;Juegos interactivos;#b7b7af
61;Bío-Bío;Servicios creativos;Empresa;Nuevos medios;#070708
108;Bío-Bío;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
108;Bío-Bío;Contenidos creativos;Profesional indep.;Editorial;#e4e2d4
108;Bío-Bío;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
111;Bío-Bío;Bienes creativos;Empresa;Computación o programación creativa;#705abb
111;Bío-Bío;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
115;Bío-Bío;Servicios creativos;Empresa;Computación o programación creativa;#705abb
115;Bío-Bío;Servicios creativos;Empresa;Contenido para redes sociales;#62cca5
115;Bío-Bío;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
118;Bío-Bío;Bienes creativos;Empresa;Contenido para redes sociales;#62cca5
118;Bío-Bío;Bienes creativos;Empresa;Música;#96a5c3
137;Bío-Bío;Bienes creativos;Empresa;Contenido para redes sociales;#62cca5
137;Bío-Bío;Bienes creativos;Empresa;Data science;#737daa
137;Bío-Bío;Bienes creativos;Empresa;Editorial;#e4e2d4
137;Bío-Bío;Bienes creativos;Empresa;Nuevos medios;#070708
27;La Araucanía;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
37;La Araucanía;Experiencias creativas;Empresa;Nuevos medios;#070708
37;La Araucanía;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
40;La Araucanía;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
40;La Araucanía;Contenidos creativos;Profesional indep.;Música;#96a5c3
40;La Araucanía;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
44;La Araucanía;Contenidos creativos;Profesional indep.;Computación o programación creativa;#705abb
44;La Araucanía;Contenidos creativos;Profesional indep.;Contenido para redes sociales;#62cca5
44;La Araucanía;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
44;La Araucanía;Contenidos creativos;Profesional indep.;Servicios creativos;#cbd2f6
66;La Araucanía;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
81;La Araucanía;Bienes creativos;Profesional indep.;Servicios creativos;#cbd2f6
116;La Araucanía;Servicios creativos;Profesional indep.;Contenido para redes sociales;#62cca5
116;La Araucanía;Servicios creativos;Profesional indep.;Editorial;#e4e2d4
116;La Araucanía;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
116;La Araucanía;Servicios creativos;Profesional indep.;Servicios creativos;#cbd2f6
121;La Araucanía;Experiencias creativas;Profesional indep.;Nuevos medios;#070708
39;Los Ríos;Experiencias creativas;Empresa;Computación o programación creativa;#705abb
39;Los Ríos;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
39;Los Ríos;Experiencias creativas;Empresa;Juegos interactivos;#b7b7af
39;Los Ríos;Experiencias creativas;Empresa;Nuevos medios;#070708
39;Los Ríos;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
75;Los Ríos;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
134;Los Lagos;Experiencias creativas;Empresa;Cultura y entretenimiento;#9a7cbb
134;Los Lagos;Experiencias creativas;Empresa;Nuevos medios;#070708
134;Los Lagos;Experiencias creativas;Empresa;Servicios creativos;#cbd2f6
4;Aysén;Bienes creativos;Empresa;Computación o programación creativa;#705abb
4;Aysén;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
51;Aysén;Bienes creativos;Empresa;Computación o programación creativa;#705abb
51;Aysén;Bienes creativos;Empresa;Contenido para redes sociales;#62cca5
51;Aysén;Bienes creativos;Empresa;Cultura y entretenimiento;#9a7cbb
51;Aysén;Bienes creativos;Empresa;Fintech;#544c7c
51;Aysén;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
95;Aysén;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
95;Aysén;Servicios creativos;Empresa;Nuevos medios;#070708
95;Aysén;Servicios creativos;Empresa;Servicios creativos;#cbd2f6
123;Aysén;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
10;Magallanes;Contenidos creativos;Empresa;Computación o programación creativa;#705abb
59;Magallanes;Servicios creativos;Empresa;Computación o programación creativa;#705abb
59;Magallanes;Servicios creativos;Empresa;Cultura y entretenimiento;#9a7cbb
59;Magallanes;Servicios creativos;Empresa;Fintech;#544c7c
79;Magallanes;Bienes creativos;Empresa;Contenido para redes sociales;#62cca5
91;Magallanes;Bienes creativos;Empresa;Juegos interactivos;#b7b7af
91;Magallanes;Bienes creativos;Empresa;Nuevos medios;#070708
91;Magallanes;Bienes creativos;Empresa;Servicios creativos;#cbd2f6
9;Extranjero;Servicios creativos;Profesional indep.;Computación o programación creativa;#705abb
9;Extranjero;Servicios creativos;Profesional indep.;Data science;#737daa
9;Extranjero;Servicios creativos;Profesional indep.;Juegos interactivos;#b7b7af
9;Extranjero;Servicios creativos;Profesional indep.;Nuevos medios;#070708
31;Extranjero;Experiencias creativas;Profesional indep.;Contenido para redes sociales;#62cca5
31;Extranjero;Experiencias creativas;Profesional indep.;Cultura y entretenimiento;#9a7cbb
31;Extranjero;Experiencias creativas;Profesional indep.;Música;#96a5c3
31;Extranjero;Experiencias creativas;Profesional indep.;Nuevos medios;#070708
31;Extranjero;Experiencias creativas;Profesional indep.;Servicios creativos;#cbd2f6
57;Extranjero;Contenidos creativos;Profesional indep.;Cultura y entretenimiento;#9a7cbb
